"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-20","0.18","0.0","0.0",,"71","57","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-21","0.00","0.0","0.0",,"70","54","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-22","0.00","0.0","0.0",,"73","58",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-23","0.89","0.0","0.0",,"64","59",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-24","0.85","0.0","0.0",,"65","58","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-25","0.58","0.0","0.0",,"63","56",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-26","0.01","0.0","0.0",,"67","55",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-27","0.00","0.0","0.0",,"70","51",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-28","0.00","0.0","0.0",,"73","53",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-29","0.00","0.0","0.0",,"80","53",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-30","0.00","0.0","0.0",,"75","53",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-10-01","0.00","0.0","0.0",,"72","55",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-10-02","0.00","0.0","0.0",,"74","53","    1","    1",,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-10-03","0.00","0.0","0.0",,"60","53","    1","    1",,,,,
